Date,Cleaned_Text,Sentiment,Sentiment_Score,LikesCount,CommentsCount
2022-09-07 17:12:32+00:00,neat comparison heard would say co like disco ball energy collide countless molecule bounce around atmosphere,Positive,0.743,2,
2022-09-08 14:51:13+00:00,excellent way visualise invisible thanks,Positive,0.765,0,
2022-09-07 17:19:41+00:00,coghg troposphere affect stratosphere warmer troposphere must expanding,Positive,0.296,1,3.0
2022-09-08 00:51:30+00:00,excellent post defo feel difference one drink make feel sick,Positive,0.1027,4,
2022-09-07 19:06:20+00:00,yes carbon dioxide harm earth like people making fake climate change rhetoric usual,Negative,-0.34,16,26.0
2022-09-15 17:10:57+00:00,excellent examplevery relatable gen pop complex topicsexplained understandable way,Positive,0.5719,4,1.0
2022-09-07 17:31:25+00:00,proud whoever created content please feel good today,Positive,0.8519,10,
2022-09-07 18:07:53+00:00,earth ever concentration ppm,Neutral,0.0,1,21.0
2022-09-07 22:45:56+00:00,yes even half cup later poor soul gonna know,Negative,-0.1027,0,
2022-09-07 16:30:55+00:00,historical co data would make interesting post,Positive,0.4019,4,8.0
2022-09-07 16:13:39+00:00,northern hemisphere warm southern hemisphere,Positive,0.2263,6,28.0
2022-09-07 17:10:34+00:00,gonna,Neutral,0.0,1,6.0
2022-09-07 16:48:17+00:00,yes fall asleep decaf stay awake real coffee keep brown sadness water thanks,Positive,0.4019,3,
2022-09-07 16:29:02+00:00,plus literally measure heat retention effect co glass container lab,Neutral,0.0,18,1.0
2022-09-07 22:24:21+00:00,two abundant gas nitrogen oxygen comprise atmosphere neither trap heat definition greenhouse gas trace gas live remaining bad co naturally sparse co naturally abundant like oxygen emission wouldnt matter wed negligible impact co naturally sparse emission matter lot fact onethird co atmosphere due human activity stop emitting pull co weve already emitted atmosphere stabilize climate,Negative,-0.3369,3,
2022-09-07 17:30:50+00:00,thats excellent way illustrate ppm,Positive,0.5719,14,
2022-09-07 17:29:49+00:00,find interesting people claim co cant possibly cause earth warming trace gas yet people would acknowledge trace gas responsible plant life earth,Positive,0.6808,40,3.0
2022-09-07 17:15:55+00:00,love post great pedagogy,Positive,0.8519,1,
2022-09-07 17:26:16+00:00,kathy schulz,Neutral,0.0,0,1.0
2022-09-07 16:25:32+00:00,drink,Neutral,0.0,0,
2022-10-08 11:58:59+00:00,thats good analogy thought another one involving absorption em wave though visible might try putting small amount cc blue die litre bottle water water faint blue tinge,Negative,-0.25,0,
2022-09-07 16:05:17+00:00,great advice,Positive,0.6249,0,
2022-09-07 16:25:20+00:00,thanks sharing,Positive,0.6908,0,
2022-09-15 16:05:08+00:00,excellent,Positive,0.5719,0,
2022-09-08 21:32:25+00:00,good coffee bean get jittery,Positive,0.4404,0,
2022-09-10 14:03:08+00:00,,Neutral,0.0,1,
2022-09-10 21:41:15+00:00,,Neutral,0.0,0,
2023-08-13 18:38:05+00:00,hlw,Neutral,0.0,0,
2022-09-07 17:05:34+00:00,decaf like mouth mouth caffeinated defibrillator electric jolt,Positive,0.3612,0,
2022-11-30 10:18:53+00:00,maybe happened marswe messed came againmeant joke wouldnt surprised,Negative,-0.2182,4,7.0
2022-11-30 10:13:48+00:00,average temperature importantbut difference night day season,Neutral,0.0,1,1.0
2022-11-29 18:34:36+00:00,always fun watching dropout pretend argue science nasa,Positive,0.128,21,5.0
2022-11-29 18:37:59+00:00,whenever nasa post good peer reviewed science make sure read comment see nut job say,Positive,0.6369,19,1.0
2022-11-29 18:29:22+00:00,due carbon,Neutral,0.0,3,
2022-12-15 06:02:09+00:00,maybe fox investigative journalist would understand physic climate change danger present would expose propaganda fossil fuel industry mock like aoc trying make real change read thiswatch real investigative reporter hard data fox charlatan watch learn,Negative,-0.7717,3,5.0
2022-11-29 20:25:36+00:00,inch rate continues accelerate glad,Positive,0.4588,1,
2022-11-29 21:33:48+00:00,simply cant mess science data collected thousand scientist researcher take politician finally take stance actually globally combat climate change,Negative,-0.0747,2,
2022-11-29 18:39:45+00:00,cue science graduate university google facebook youtube,Neutral,0.0,5,2.0
2022-11-29 18:28:44+00:00,thats horrendous,Negative,-0.5859,3,
2022-11-29 18:30:13+00:00,say bye bye florida,Neutral,0.0,0,2.0
2022-11-30 04:57:27+00:00,sustainability v stability climate change solution must,Positive,0.3182,1,
2023-12-02 16:41:56+00:00,dutchy holland maybe better move level apartment building,Positive,0.4404,1,1.0
2022-11-29 19:49:25+00:00,yet many westerner dont believe understand simple science behind global warming bigoil still much power,Positive,0.1531,12,23.0
2022-12-05 13:56:09+00:00,di pulau jawa indonesia sering gempa sekarang,Neutral,0.0,0,
2022-11-30 02:38:06+00:00,andrew bidi apropo de conversatia noastra vazut asta si zis sa iti arat,Neutral,0.0,0,
2023-01-06 19:06:41+00:00,greenhouse effect concerned infrared radiation given earth sun radiation basically pass oxygen nitrogen earth atmosphere land earth surface absorbed reflected back atmosphere part radiation bounce greenhouse gas return absorbed earth greenhouse gas ghgs water vapor ho carbon dioxide co nitrous oxide methane ch long co remain atmosphere difficult question several process remove carbon dioxide atmosphere co released air dissolve ocean period year rest removed several hundred thousand year according ipcc fourth assessment report co increase removed atmosphere within year another removed within century remaining may stay atmosphere thousand year mean could stop carbon dioxide emission tomorrow carbon dioxide atmosphere would continue warm climate thousand year methane ch contrast persists year thus even though methane time potent carbon dioxide effect relatively shortlived furthermore methane increased ppb ppb today notice part per billion part per million emission carbon dioxide atmosphere causing global warming much earth warm year depends upon many billion ton carbon dioxide emitted atmosphere general rule trillion ton additional carbon dioxide atmosphere actually billion translate ppm additional carbon dioxide also ppm additional carbon dioxide translates f c global warming verified fact preindustrial carbon dioxide ppm ppm period planet warmed c scientist measured amount atmospheric carbon dioxide corresponds ppm found corresponds billion metric ton co atmosphere therefore order increase global temperature c would need x billion billion metric ton carbon dioxide metric ton equal kilogram x pound u country world use metric ton world pumped billion metric ton u gt carbon dioxide atmosphere average per caput emission carbon dioxide metric ton per person per year year billion people therefore businessasusual scenario expect world emit x billion metric ton atmosphere per year average billion ton next year ie accumulation trillion ton co less tt due carbon sink ocean almost saturated co world accumulation tt carbon atmosphere dividing trillion ton co million c f mean world f warmer rise sea level come two distinct process water expansion foot due added f increased temperature melting ice mainly greenland foot antarctica foot total foot well increased extraction groundwater due irrigation although usually notice water expands slightly get warmer second potentially greater contribution rising sea level come melting glacial ice antarctica ice greenland ice trillion ton ice remaining tied continental glacier except himalaya melt greenland completely melt raise sea level foot meter antarctica completely melt add foot meter sea level rise year predict fossil fuel almost depleted coal may last temperature rise level model predicts greenland losing gt ice per year end century resulting foot sea level rise addition antarctica add another foot sea level rise adding foot thermal warming result sea level rise foot add foot due melting west antarctic ice sheet wais due collapse pine island thwaites glacier foot sea level rise end century noaa national oceanic atmospheric administration state ocean could rise foot worsecase scenario namely complete collapse wais effect would foot sea level rise u miami one vulnerable place rising sea million american would see home permanently flooded sea level rise foot sea level rise foot million american would see home permanently flooded new study predicts many million american coastal area relocate sea level rise foot meter expect likely scenario addition sealevel rise global warming contributing increase spread insectborne illness cropdamaging pest example disease zika dengue fever chikungunya transmitted mosquito pick disease biting infected people spreading people subsequent bite research shown warmer temperature shorten incubation period mean disease spread rapidly warmer temperature also tend increase geographic range insect global warming also translates extreme weather event higher temperature mean increase energy atmosphere ocean energy drive weather cannot attribute particular storm global warming tie overall trend global warming make logical sense warm ocean water give birth intense weather generally hurricane cannot survive long sea surface cooler f c longer ocean water stay f opportunity hurricane blossom lastly global warming result drought flood water scarcity demand water tripled past year currently half billion people live waterstressed country number expected increase billion vast majority fresh water used agriculture u east coast much water supply come surface water whereas midwest get water supply combination surface water well water well water come underground aquifer ogallala aquifer present rate withdrawal part ogallala aquifer water available irrigation another year,Positive,0.9871,0,
2022-11-30 04:56:29+00:00,plastic pollution,Neutral,0.0,0,1.0
2023-07-13 16:46:20+00:00,born spend lot time outdoors getting hotter storm getting intense,Positive,0.0772,19,15.0
2023-07-07 17:45:13+00:00,move sahara desert use solar energy tree cut sahara,Neutral,0.0,2,
2023-07-26 17:43:08+00:00,start directly measure temperature,Neutral,0.0,0,
2023-07-08 00:05:17+00:00,,Neutral,0.0,1,
2023-07-10 20:00:56+00:00,earth sun screen collaborative earthling launch lightweight material thin film darkened tinted plastic lightweight barrier carbon fiber outer space act sunscreen awning louver pergola earth sun placed orbit block hottest portion sun ray trojan point lagrange point place orbiting body gravity equilibrium equal pull direction wherein object stuck suspended orbiting body appears motionless sky point earth sun called l lagrange andis located approx week journey earth possible timeline square mile material needed launch square mile sun screen material per launch launch would needed assemble full sun screen panel meaning initial sunscreen could theory fully installed year orbital earth sun screen could uv blocking tinted different color change color output sun light benefit amplify plant life less heat bad uv ray acting tint sunglass also uv light filter blocking harmful uv ray changing output color sun help plant grow faster less direct uv heat orbital sunscreen could act thermostat control sun output earth giving mankind climate control take week get l lagrange point maintenance service crew change mission possible permanent fix delaying action someone calculate big solid object spaced apart panel would degree effect etc would benefit come adjustable tint change uv output polarization earth plantlife benefit change output color plantlife benefit thanks help info matter,Positive,0.7564,2,
2023-09-01 16:10:07+00:00,creator say climate abd weather amos also withhold rain harvest still three month away sent rain one town withheld another one field rain another none dried zechariah ask lord rain season spring rain lord make rain cloud give shower rain crop field everyone john wind blow pleases hear sound dont know come going everyone born spirit,Positive,0.5267,1,
2023-07-08 14:48:49+00:00,awesome maybe start growing palm tree front yard,Positive,0.7003,2,
2023-07-12 20:30:32+00:00,climate action also important dont miss week firelight chat wednesday climate marianne joined peter kalmus climate scientist author change live well spark climate revolution watch stream live directly website mariannecom follow facebook twitter youtube wednesday july th pm et pm pt,Positive,0.6421,1,
2023-07-19 07:30:21+00:00,please urge political representative wake fight fossil fuel industry,Negative,-0.0772,2,
2023-07-27 18:53:34+00:00,republican would rather boil planet destroy life future generationsthan admit liberal scientist correct climate change literally simple,Negative,-0.4019,4,
2023-07-26 15:29:36+00:00,planet earth warming fast hurricane flooding spontaneous fire occurring often intensity,Negative,-0.2023,2,
2023-07-13 16:33:35+00:00,theyre aware,Neutral,0.0,5,1.0
2023-07-08 11:55:35+00:00,heat planet measured accurately unless body thermometer placed space sensitive part earth would accurate measure anything imprisoning whole thermometer,Neutral,0.0,1,1.0
2023-07-07 21:27:29+00:00,guess need reduce co emission,Neutral,0.0,4,6.0
2023-07-10 15:18:43+00:00,,Neutral,0.0,2,1.0
2023-07-11 01:44:32+00:00,nothing see folksmove right along,Neutral,0.0,2,
2023-07-24 15:58:50+00:00,im disagreement someone say heat wave prove current climate science wrong co level climate change good counterpoint make,Negative,-0.4019,1,2.0
2023-07-07 23:26:01+00:00,speedrunning global ecosystem collapse,Negative,-0.4939,9,
2023-07-08 21:01:39+00:00,,Neutral,0.0,1,
2023-07-07 16:37:57+00:00,,Neutral,0.0,0,
2023-07-13 22:50:26+00:00,wonder whats causing heat wave starting measuring global temp,Neutral,0.0,1,1.0
2023-07-07 22:54:55+00:00,joni shepherd silva charles silva,Neutral,0.0,0,
2023-07-12 02:46:45+00:00,genesis hc,Neutral,0.0,0,
2023-09-15 11:35:56+00:00,,Neutral,0.0,0,
2023-07-11 20:20:23+00:00,cc way predict accurately,Neutral,0.0,0,2.0
2023-07-09 18:37:53+00:00,,Neutral,0.0,1,
2023-07-14 23:10:32+00:00,dont worrythe uneducated oil sycophant magats assure u weather,Positive,0.34,0,
2023-07-07 15:57:35+00:00,,Neutral,0.0,1,
2023-07-29 20:56:19+00:00,suzie woodruffgray,Neutral,0.0,0,
2023-07-26 18:18:19+00:00,,Neutral,0.0,0,
2023-07-26 18:17:45+00:00,,Neutral,0.0,0,
2023-07-19 15:16:59+00:00,dear world ever time world unite would invite planet earth join giving beautiful planet day day week sunday requirement needed happen become reality rest world spending billion uncertainty save planet trying cool itbut cooling changing amount emission earth atmosphere watching reading beingattempted done like watching movie groundhog day trial errorunknown resultsuncertaintyknowing damage destructionand anyway repeat hasnt ever time promoting riskeffective solution save planet earth eliminating amount emission planet turning free result immediate maybe change amount emission atmosphere yr agobut earth got rest day week absolutely rejuvenate used needed earth efficient effective stop experimenting much uncertainty potentially destructive jwork promoting world give earth sunday shut maybe result would miraculous would heal planet quicker wed ever imagine never know done make great experiment save planet time waste wildfire fire war escalated time left act immediately knowing result tomorrow uncertainty shut day week thanks spread word,Positive,0.9401,1,
2021-09-23 18:12:08+00:00,thank nasa climate change patience thoroughness denier remarkable need scientist like explain thing average person hope see discussion like world number one problem one want talk,Positive,0.8555,10,
2021-09-23 14:46:40+00:00,miss old school america turned scientist doctor advice issue climate public health,Negative,-0.1531,24,
2021-09-23 18:28:57+00:00,thank nasa explaining scientific evidence enjoy reading article know im scientist learning respect earth ultimate goal,Positive,0.8316,18,
